
null
cycle: 109.0; minSize: 3.036461455136056; maxSize: 4.163898098861009; mean: 3.4859783373691955
cycle: 110.0; minSize: 4.036461455136056; maxSize: 5.163898098861009; mean: 4.4812239139519345
cycle: 111.0; minSize: 5.036461455136056; maxSize: 6.155893667424158; mean: 5.48067150186384
cycle: 112.0; minSize: 6.036461455136056; maxSize: 7.155893667424158; mean: 6.4667754753266875
cycle: 113.0; minSize: 7.036461455136056; maxSize: 8.155893667424158; mean: 7.451662977550263
cycle: 114.0; minSize: 8.036461455136056; maxSize: 9.155893667424158; mean: 8.442245814379751
cycle: 115.0; minSize: 0.02540948078185791; maxSize: 9.17996760274519; mean: 2.7779396999216384
cycle: 116.0; minSize: 0.00994461922911391; maxSize: 1.1838531122475053; mean: 0.41942593179741433
cycle: 117.0; minSize: 1.009944619229114; maxSize: 2.1838531122475056; mean: 1.4266720557303127
cycle: 118.0; minSize: 2.009944619229114; maxSize: 3.1838531122475056; mean: 2.4147966461814954
cycle: 119.0; minSize: 3.009944619229114; maxSize: 4.183853112247506; mean: 3.4134260409867694
cycle: 120.0; minSize: 4.009944619229114; maxSize: 5.183853112247506; mean: 4.400471930696823
cycle: 121.0; minSize: 5.009944619229114; maxSize: 6.183853112247506; mean: 5.404674507753329
cycle: 122.0; minSize: 6.033575586231503; maxSize: 7.183853112247506; mean: 6.407177572826239
cycle: 123.0; minSize: 7.033575586231503; maxSize: 8.183853112247505; mean: 7.415399538113669
cycle: 124.0; minSize: 8.033575586231503; maxSize: 9.183853112247505; mean: 8.431745100156354
cycle: 125.0; minSize: 0.031561902762030414; maxSize: 9.166605806238387; mean: 2.6091244188486082
cycle: 126.0; minSize: 0.013997893660153068; maxSize: 1.1950861735111897; mean: 0.4564093629018403
cycle: 127.0; minSize: 1.013997893660153; maxSize: 2.1950861735111897; mean: 1.4416660013591678
cycle: 128.0; minSize: 1.7377163631302106; maxSize: 3.1950861735111897; mean: 2.4390130823312335
cycle: 129.0; minSize: 2.702828930163921; maxSize: 4.195086173511189; mean: 3.4641993467244108
cycle: 130.0; minSize: 3.382828930163921; maxSize: 5.175162754390022; mean: 4.460637331266263
cycle: 131.0; minSize: 4.3415109466160935; maxSize: 6.175162754390022; mean: 5.446325559785827
cycle: 132.0; minSize: 5.331510946616091; maxSize: 7.175162754390022; mean: 6.4510029481554145
cycle: 133.0; minSize: 6.331510946616091; maxSize: 8.175162754390023; mean: 7.469871870435074
cycle: 134.0; minSize: 7.331510946616091; maxSize: 9.175162754390023; mean: 8.494703736976993
cycle: 135.0; minSize: 0.0061596144946177295; maxSize: 9.162391359788664; mean: 2.137667263253779
cycle: 136.0; minSize: 0.013443027482568592; maxSize: 9.717007901457547; mean: 0.5482133444066047
cycle: 137.0; minSize: 0.07620378266968347; maxSize: 2.16870574886678; mean: 1.4793866197437298
cycle: 138.0; minSize: 1.0762037826696835; maxSize: 3.16870574886678; mean: 2.474309374308311
cycle: 139.0; minSize: 2.089844145685094; maxSize: 4.168705748866779; mean: 3.4784017164681282
cycle: 140.0; minSize: 3.089844145685094; maxSize: 5.166216263982732; mean: 4.487432640038585
cycle: 141.0; minSize: 4.089844145685094; maxSize: 6.166216263982732; mean: 5.482735423854247
cycle: 142.0; minSize: 5.089844145685094; maxSize: 7.166216263982732; mean: 6.489252854750588
cycle: 143.0; minSize: 6.099694348407263; maxSize: 8.166216263982733; mean: 7.497781682513003
cycle: 144.0; minSize: 7.099694348407263; maxSize: 9.166216263982733; mean: 8.504566239099043
cycle: 145.0; minSize: 0.010408988815613154; maxSize: 9.167387369434751; mean: 1.946059887162961
cycle: 146.0; minSize: 0.015361452082186686; maxSize: 9.80606046590666; mean: 0.6131748632467847
cycle: 147.0; minSize: 0.049367756364444536; maxSize: 2.1866825643068903; mean: 1.5476853906644357
cycle: 148.0; minSize: 1.0093677563644468; maxSize: 3.1866825643068903; mean: 2.5429146150304964
cycle: 149.0; minSize: 1.989367756364449; maxSize: 4.160502773887922; mean: 3.5276824050423476
cycle: 150.0; minSize: 2.8603611170206182; maxSize: 5.160502773887922; mean: 4.529443010402896
cycle: 151.0; minSize: 3.8403611170206204; maxSize: 6.160502773887922; mean: 5.527823849940084
cycle: 152.0; minSize: 4.84036111702062; maxSize: 7.160502773887922; mean: 6.507471219312008
cycle: 153.0; minSize: 5.255675269691824; maxSize: 8.151226437452081; mean: 7.464079349000126
cycle: 154.0; minSize: 5.415675269691824; maxSize: 9.151226437452081; mean: 8.431909685080807
cycle: 155.0; minSize: 0.023526533281548523; maxSize: 9.99904752375193; mean: 2.4485872988585253
cycle: 156.0; minSize: 0.006435969467677702; maxSize: 9.999561805098335; mean: 0.7827725086358873
cycle: 157.0; minSize: 0.04686039427850092; maxSize: 9.989367756364448; mean: 1.5112996456950838
cycle: 158.0; minSize: 0.05205460885910592; maxSize: 9.64869491661052; mean: 2.303805294399966
cycle: 159.0; minSize: 0.4416456418687695; maxSize: 9.848694916610519; mean: 3.0404185538598423
cycle: 160.0; minSize: 0.0813039883333885; maxSize: 9.972090667678113; mean: 3.7102330091703197
cycle: 161.0; minSize: 0.01703253053418914; maxSize: 9.934038580866456; mean: 4.210764362798619
