cell,x
193,803.7230119
194,793.9232469
195,786.7565216
196,781.9766611
197,779.2408017
198,778.1708415
199,778.4103058
200,779.6634768
201,781.7133369
202,784.4223059
203,787.722715
204,791.6033056
205,796.0955722
206,801.2610047
207,807.1783331
208,813.9294402
209,821.5837674
210,830.183016
211,839.7293947
212,850.1805223
213,861.4523149
214,873.428759
215,885.975669
216,898.9550537
217,912.2374304
218,925.7106803
219,939.2852069
220,952.8959144
221,966.501831
222,980.0842084
223,993.6437671
224,1007.197564
225,1020.775785
226,1034.418624
227,1048.173351
228,1062.091579
229,1076.226775
230,1090.632008
231,1105.357954
232,1120.451187
233,1135.952771
234,1151.89719
235,1168.311621
236,1185.215551
237,1202.620747
238,1220.531507
239,1238.945186
240,1257.852912
241,1045.345523
242,1017.378719
243,989.4801802
244,961.7599258
245,934.3674298
246,907.5015609
247,881.4205578
248,856.4494767
249,832.9804202
250,811.4585432
251,792.3460996
252,776.0608306
253,762.8963749
254,752.9482208
255,746.0775975
256,741.9350981
257,740.0378797
258,739.8689462
259,740.9626288
260,742.9555867
261,745.6022243
262,748.7653831
263,752.3956673
264,756.5095783
265,761.1715409
266,766.4799798
267,772.5541942
268,779.5181203
269,787.4795716
270,796.5078058
271,806.6155067
272,817.7511685
273,829.8043542
274,842.6216175
275,856.0277414
276,869.8465884
277,883.9176202
278,898.1065429
279,912.3104079
280,926.4584509
281,940.5101496
282,954.4517467
283,968.2921254
284,982.0585781
285,995.7927539
286,1009.546908
287,1023.380477
288,1037.356974
289,1051.54118
290,1065.996614
291,1080.783308
292,1095.95589
293,1111.562022
294,1127.641224
295,1144.224106
296,1161.33203
297,1178.977165
298,1197.162908
299,1215.884615
300,1235.130541
301,1021.993436
302,992.8546838
303,963.6470539
304,934.4667239
305,905.4531003
306,876.8030987
307,848.7878578
308,821.7696595
309,796.2134055
310,772.6817687
311,751.7981236
312,734.1629292
313,720.226712
314,710.157021
315,703.7645995
316,700.5389183
317,699.7824362
318,700.7773267
319,702.9151146
320,705.7585762
321,709.0447255
322,712.6546042
323,716.5737611
324,720.8585356
325,725.6142083
326,730.9831076
327,737.1348211
328,744.2493043
329,752.4886609
330,761.9623853
331,772.6979977
332,784.6289534
333,797.604371
334,811.4157411
335,825.8303357
336,840.6215287
337,855.5904368
338,870.5777804
339,885.4676912
340,900.1861365
341,914.6963979
342,928.9933459
343,943.0975604
344,957.0498192
345,970.9061486
346,984.7334462
347,998.6056076
348,1012.600072
349,1026.794717
350,1041.265065
351,1056.081799
352,1071.30863
353,1087.000545
354,1103.202516
355,1119.948693
356,1137.262107
357,1155.154869
358,1173.6288
359,1192.676422
360,1212.282209
361,999.3339158
362,969.0113837
363,938.4621498
364,907.7595492
365,877.0211294
366,846.4272369
367,816.245618
368,786.8615291
369,758.808577
