
null
cycle: 58; nbPreys: 96; minEnergyPreys: 0.002720000000000014; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 59; nbPreys: 98; minEnergyPreys: 0.022560784313724172; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.19333333333333327; maxSizePredators: 1.0
cycle: 60; nbPreys: 91; minEnergyPreys: 0.07099490196078587; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.17333333333333328; maxSizePredators: 1.0
cycle: 61; nbPreys: 89; minEnergyPreys: 0.020994901960785864; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1533333333333333; maxSizePredators: 1.0
cycle: 62; nbPreys: 87; minEnergyPreys: 0.09999999999999969; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1333333333333333; maxSizePredators: 0.98
cycle: 63; nbPreys: 84; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1133333333333333; maxSizePredators: 0.96
cycle: 64; nbPreys: 88; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.0933333333333333; maxSizePredators: 1.0
cycle: 65; nbPreys: 91; minEnergyPreys: 0.006120000000003414; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.07333333333333329; maxSizePredators: 1.0
cycle: 66; nbPreys: 85; minEnergyPreys: 0.011674705882352768; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.05333333333333329; maxSizePredators: 0.98
cycle: 67; nbPreys: 89; minEnergyPreys: 0.031794705882350144; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 68; nbPreys: 86; minEnergyPreys: 0.029279999999997225; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.98
cycle: 69; nbPreys: 84; minEnergyPreys: 0.07886000000000115; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.17999999999999983; maxSizePredators: 0.96
cycle: 70; nbPreys: 84; minEnergyPreys: 0.12886000000000114; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 71; nbPreys: 84; minEnergyPreys: 0.09890643137255055; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 72; nbPreys: 83; minEnergyPreys: 0.048906431372550546; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.11999999999999984; maxSizePredators: 0.98
cycle: 73; nbPreys: 83; minEnergyPreys: 0.11581843137254953; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.09999999999999984; maxSizePredators: 0.96
cycle: 74; nbPreys: 83; minEnergyPreys: 0.06581843137254953; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 75; nbPreys: 83; minEnergyPreys: 0.08338799999999973; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 76; nbPreys: 82; minEnergyPreys: 0.03338799999999972; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.03999999999999983; maxSizePredators: 0.98
cycle: 77; nbPreys: 82; minEnergyPreys: 0.004487999999998563; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.019999999999999827; maxSizePredators: 0.96
cycle: 78; nbPreys: 81; minEnergyPreys: 0.2240550000000029; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.94
cycle: 79; nbPreys: 79; minEnergyPreys: 0.1740550000000029; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.049999999999999684; maxSizePredators: 0.9199999999999999
cycle: 80; nbPreys: 84; minEnergyPreys: 0.15697799999999854; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.029999999999999683; maxSizePredators: 1.0
cycle: 81; nbPreys: 83; minEnergyPreys: 0.20697799999999855; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.009999999999999683; maxSizePredators: 1.0
cycle: 82; nbPreys: 85; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.049999999999999406; maxSizePredators: 1.0
cycle: 83; nbPreys: 88; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.029999999999999406; maxSizePredators: 0.98
cycle: 84; nbPreys: 99; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.009999999999999405; maxSizePredators: 0.96
cycle: 85; nbPreys: 98; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.033333333333333284; maxSizePredators: 0.94
cycle: 86; nbPreys: 98; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.9199999999999999
cycle: 87; nbPreys: 100; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.03999999999999988; maxSizePredators: 0.8999999999999999
cycle: 88; nbPreys: 99; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.019999999999999882; maxSizePredators: 0.8799999999999999
cycle: 89; nbPreys: 109; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.06666666666666664; maxSizePredators: 1.0
cycle: 90; nbPreys: 105; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.046666666666666634; maxSizePredators: 0.98
cycle: 91; nbPreys: 110; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.026666666666666634; maxSizePredators: 1.0
cycle: 92; nbPreys: 114; minEnergyPreys: 0.12338000000000017; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.006666666666666633; maxSizePredators: 0.98
cycle: 93; nbPreys: 119; minEnergyPreys: 0.0816684313725493; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.013333333333333006; maxSizePredators: 0.96
cycle: 94; nbPreys: 119; minEnergyPreys: 0.031668431372549294; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.019999999999999827; maxSizePredators: 0.94
cycle: 95; nbPreys: 120; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.27999999999999936; maxSizePredators: 1.0
cycle: 96; nbPreys: 122; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.25999999999999934; maxSizePredators: 1.0
cycle: 97; nbPreys: 118; minEnergyPreys: 0.05000000000000007; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.23999999999999935; maxSizePredators: 1.0
cycle: 98; nbPreys: 115; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.21999999999999936; maxSizePredators: 1.0
cycle: 99; nbPreys: 117; minEnergyPreys: 0.05601921568627653; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.19999999999999937; maxSizePredators: 1.0
cycle: 100; nbPreys: 115; minEnergyPreys: 0.00601921568627653; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.17999999999999938; maxSizePredators: 0.98
cycle: 101; nbPreys: 115; minEnergyPreys: 0.016623333333330895; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.1599999999999994; maxSizePredators: 0.96
cycle: 102; nbPreys: 118; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.23999999999999935; maxSizePredators: 0.94
cycle: 103; nbPreys: 116; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.21999999999999936; maxSizePredators: 0.9199999999999999
cycle: 104; nbPreys: 113; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.19999999999999937; maxSizePredators: 0.8999999999999999
cycle: 105; nbPreys: 111; minEnergyPreys: 2.914335439641036E-16; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.17999999999999938; maxSizePredators: 0.8799999999999999
cycle: 106; nbPreys: 109; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1599999999999994; maxSizePredators: 1.0
cycle: 107; nbPreys: 112; minEnergyPreys: 0.046533333333330235; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1399999999999994; maxSizePredators: 1.0
cycle: 108; nbPreys: 108; minEnergyPreys: 0.018836862745099173; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.98
cycle: 109; nbPreys: 119; minEnergyPreys: 0.02499999999999998; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.09999999999999973; maxSizePredators: 0.96
cycle: 110; nbPreys: 120; minEnergyPreys: 0.03106764705882134; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.07999999999999972; maxSizePredators: 1.0
cycle: 111; nbPreys: 123; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.05999999999999972; maxSizePredators: 0.98
cycle: 112; nbPreys: 121; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.039999999999999716; maxSizePredators: 0.96
cycle: 113; nbPreys: 121; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.019999999999999716; maxSizePredators: 0.94
cycle: 114; nbPreys: 126; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.9199999999999999
cycle: 115; nbPreys: 128; minEnergyPreys: 0.03974833333333336; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 116; nbPreys: 129; minEnergyPreys: 0.03974833333333336; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
