
cycle: 58.0; nbPreys: 103; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.00999999999999985; maxSizePredators: 0.98
cycle: 59.0; nbPreys: 98; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.12666666666666668; maxSizePredators: 0.96
cycle: 60.0; nbPreys: 97; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.10666666666666667; maxSizePredators: 0.94
cycle: 61.0; nbPreys: 106; minEnergyPreys: 0.017843137254903343; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.08666666666666667; maxSizePredators: 0.9199999999999999
cycle: 62.0; nbPreys: 102; minEnergyPreys: 0.012549019607842824; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.06666666666666667; maxSizePredators: 0.8999999999999999
cycle: 63.0; nbPreys: 99; minEnergyPreys: 0.00803921568627404; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.04666666666666666; maxSizePredators: 0.8799999999999999
cycle: 64.0; nbPreys: 96; minEnergyPreys: 0.005686274509803815; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.02666666666666666; maxSizePredators: 1.0
cycle: 65.0; nbPreys: 95; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 66.0; nbPreys: 89; minEnergyPreys: 0.09999999999999935; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.21999999999999936; maxSizePredators: 0.98
cycle: 67.0; nbPreys: 94; minEnergyPreys: 0.04999999999999935; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.19999999999999937; maxSizePredators: 0.96
cycle: 68.0; nbPreys: 97; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.17999999999999938; maxSizePredators: 1.0
cycle: 69.0; nbPreys: 100; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1599999999999994; maxSizePredators: 1.0
cycle: 70.0; nbPreys: 100; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1399999999999994; maxSizePredators: 0.98
cycle: 71.0; nbPreys: 100; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1199999999999994; maxSizePredators: 1.0
cycle: 72.0; nbPreys: 95; minEnergyPreys: 0.020000000000002197; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 73.0; nbPreys: 96; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
