x,y,dist,ffreq,part.a,part.b
564500,1069500,0,0,0,0
589500,1096500,0,0,0,0
570500,1099500,0,0,0,0
566500,1093500,0,0,0,0
545500,1064500,0,0,0,0
556500,1077500,0,0,0,0
549500,1062500,0,0,0,0
549500,1085500,0,0,0,0
563500,1091500,0,0,0,0
575500,1067500,0,0,0,0
593500,1096500,0,0,0,0
565500,1064500,0,0,0,0
554500,1077500,0,0,0,0
579500,1087500,0,0,0,0
547500,1084500,0,0,0,0
550500,1076500,0,0,0,0
573500,1073500,0,0,0,0
560500,1066500,0,0,0,0
569500,1075500,0,0,0,0
589500,1093500,0,0,0,0
551500,1064500,0,0,0,0
562500,1072500,0,0,0,0
562500,1104500,0,0,0,0
538500,1072500,0,0,0,0
546500,1060500,0,0,0,0
546500,1065500,0,0,0,0
553500,1083500,0,0,0,0
568500,1082500,0,0,0,0
558500,1074500,0,0,0,0
559500,1072500,0,0,0,0
567500,1100500,0,0,0,0
568500,1080500,0,0,0,0
559500,1083500,0,0,0,0
554500,1076500,0,0,0,0
546500,1062500,0,0,0,0
593500,1094500,0,0,0,0
566500,1071500,0,0,0,0
583500,1081500,0,0,0,0
547500,1071500,0,0,0,0
576500,1082500,0,0,0,0
576500,1076500,0,0,0,0
578500,1101500,0,0,0,0
571500,1082500,0,0,0,0
584500,1095500,0,0,0,0
581500,1081500,0,0,0,0
559500,1095500,0,0,0,0
578500,1078500,0,0,0,0
567500,1076500,0,0,0,0
560500,1078500,0,0,0,0
591500,1099500,0,0,0,0
565500,1095500,0,0,0,0
559500,1089500,0,0,0,0
553500,1079500,0,0,0,0
556500,1072500,0,0,0,0
561500,1064500,0,0,0,0
583500,1091500,0,0,0,0
565500,1073500,0,0,0,0
562500,1090500,0,0,0,0
566500,1080500,0,0,0,0
574500,1083500,0,0,0,0
570500,1069500,0,0,0,0
559500,1092500,0,0,0,0
576500,1088500,0,0,0,0
565500,1081500,0,0,0,0
584500,1094500,0,0,0,0
581500,1080500,0,0,0,0
564500,1095500,0,0,0,0
558500,1064500,0,0,0,0
557500,1076500,0,0,0,0
545500,1067500,0,0,0,0
544500,1066500,0,0,0,0
582500,1086500,0,0,0,0
588500,1085500,0,0,0,0
587500,1074500,0,0,0,0
564500,1072500,0,0,0,0
586500,1089500,0,0,0,0
558500,1073500,0,0,0,0
566500,1091500,0,0,0,0
546500,1076500,0,0,0,0
584500,1093500,0,0,0,0
560500,1076500,0,0,0,0
565500,1074500,0,0,0,0
569500,1072500,0,0,0,0
569500,1085500,0,0,0,0
549500,1059500,0,0,0,0
569500,1095500,0,0,0,0
596500,1098500,0,0,0,0
567500,1088500,0,0,0,0
566500,1094500,0,0,0,0
551500,1065500,0,0,0,0
569500,1074500,0,0,0,0
578500,1087500,0,0,0,0
554500,1078500,0,0,0,0
571500,1084500,0,0,0,0
560500,1089500,0,0,0,0
555500,1062500,0,0,0,0
574500,1082500,0,0,0,0
537500,1070500,0,0,0,0
565500,1068500,0,0,0,0
551500,1080500,0,0,0,0
553500,1063500,0,0,0,0
581500,1101500,0,0,0,0
546500,1079500,0,0,0,0
570500,1067500,0,0,0,0
595500,1099500,0,0,0,0
567500,1063500,0,0,0,0
587500,1099500,0,0,0,0
547500,1069500,0,0,0,0
551500,1073500,0,0,0,0
568500,1100500,0,0,0,0
586500,1099500,0,0,0,0
576500,1068500,0,0,0,0
569500,1071500,0,0,0,0
573500,1095500,0,0,0,0
597500,1098500,0,0,0,0
559500,1062500,0,0,0,0
564500,1076500,0,0,0,0
577500,1070500,0,0,0,0
565500,1099500,0,0,0,0
588500,1077500,0,0,0,0
567500,1094500,0,0,0,0
586500,1097500,0,0,0,0
587500,1091500,0,0,0,0
567500,1075500,0,0,0,0
596500,1100500,0,0,0,0
578500,1074500,0,0,0,0
542500,1074500,0,0,0,0
582500,1090500,0,0,0,0
586500,1095500,0,0,0,0
577500,1097500,0,0,0,0
562500,1077500,0,0,0,0
587500,1092500,0,0,0,0
550500,1083500,0,0,0,0
551500,1062500,0,0,0,0
579500,1090500,0,0,0,0
585500,1076500,0,0,0,0
590500,1087500,0,0,0,0
548500,1082500,0,0,0,0
586500,1075500,0,0,0,0
542500,1076500,0,0,0,0
