x,y,dist,ffreq,part.a,part.b
611563,1001000,0,0,0,0
613497,1001000,0,0,0,0
615431,1001000,0,0,0,0
617365,1001000,0,0,0,0
619299,1001000,0,0,0,0
621233,1001000,0,0,0,0
623167,1001000,0,0,0,0
625101,1001000,0,0,0,0
627035,1001000,0,0,0,0
628969,1001000,0,0,0,0
630903,1001000,0,0,0,0
632837,1001000,0,0,0,0
634771,1001000,0,0,0,0
636705,1001000,0,0,0,0
638639,1001000,0,0,0,0
640573,1001000,0,0,0,0
526467,1002800,0,0,0,0
528401,1002800,0,0,0,0
530335,1002800,0,0,0,0
532269,1002800,0,0,0,0
534203,1002800,0,0,0,0
536137,1002800,0,0,0,0
538071,1002800,0,0,0,0
540005,1002800,0,0,0,0
541939,1002800,0,0,0,0
543873,1002800,0,0,0,0
545807,1002800,0,0,0,0
547741,1002800,0,0,0,0
549675,1002800,0,0,0,0
551609,1002800,0,0,0,0
553543,1002800,0,0,0,0
555477,1002800,0,0,0,0
557411,1002800,0,0,0,0
559345,1002800,0,0,0,0
561279,1002800,0,0,0,0
563213,1002800,0,0,0,0
565147,1002800,0,0,0,0
567081,1002800,0,0,0,0
569015,1002800,0,0,0,0
570949,1002800,0,0,0,0
572883,1002800,0,0,0,0
574817,1002800,0,0,0,0
576751,1002800,0,0,0,0
578685,1002800,0,0,0,0
580619,1002800,0,0,0,0
582553,1002800,0,0,0,0
584487,1002800,0,0,0,0
586421,1002800,0,0,0,0
588355,1002800,0,0,0,0
590289,1002800,0,0,0,0
592223,1002800,0,0,0,0
594157,1002800,0,0,0,0
596091,1002800,0,0,0,0
598025,1002800,0,0,0,0
599959,1002800,0,0,0,0
601893,1002800,0,0,0,0
603827,1002800,0,0,0,0
605761,1002800,0,0,0,0
607695,1002800,0,0,0,0
609629,1002800,0,0,0,0
611563,1002800,0,0,0,0
613497,1002800,0,0,0,0
615431,1002800,0,0,0,0
617365,1002800,0,0,0,0
619299,1002800,0,0,0,0
621233,1002800,0,0,0,0
623167,1002800,0,0,0,0
625101,1002800,0,0,0,0
627035,1002800,0,0,0,0
628969,1002800,0,0,0,0
630903,1002800,0,0,0,0
632837,1002800,0,0,0,0
634771,1002800,0,0,0,0
636705,1002800,0,0,0,0
638639,1002800,0,0,0,0
640573,1002800,0,0,0,0
526467,1004600,0,0,0,0
528401,1004600,0,0,0,0
530335,1004600,0,0,0,0
532269,1004600,0,0,0,0
534203,1004600,0,0,0,0
536137,1004600,0,0,0,0
538071,1004600,0,0,0,0
540005,1004600,0,0,0,0
541939,1004600,0,0,0,0
543873,1004600,0,0,0,0
545807,1004600,0,0,0,0
547741,1004600,0,0,0,0
549675,1004600,0,0,0,0
551609,1004600,0,0,0,0
553543,1004600,0,0,0,0
555477,1004600,0,0,0,0
557411,1004600,0,0,0,0
559345,1004600,0,0,0,0
561279,1004600,0,0,0,0
563213,1004600,0,0,0,0
565147,1004600,0,0,0,0
567081,1004600,0,0,0,0
569015,1004600,0,0,0,0
570949,1004600,0,0,0,0
